model,parameters,t1_f1_score,t1_auc_score,t1_time,t2_f1_score,t2_auc_score,t2_time,t3_f1_score,t3_auc_score,t3_time,t4_f1_score,t4_auc_score,t4_time,t5_f1_score,t5_auc_score,t5_time,t6_f1_score,t6_auc_score,t6_time,t7_f1_score,t7_auc_score,t7_time,t8_f1_score,t8_auc_score,t8_time,t9_f1_score,t9_auc_score,t9_time,t10_f1_score,t10_auc_score,t10_time,avg_f1score,avg_auc_score,avg_time
RandomForestClassifier,{'n_estimators': 400},0.87,0.9904627968803874,7.84,0.87,0.9902761980025965,8.26,0.88,0.9901027241627193,9.06,0.88,0.9908830952940766,8.4,0.88,0.9902560749249311,8.03,0.88,0.9907146905468179,7.86,0.88,0.9902260801087011,7.62,0.87,0.9898269075675084,7.92,0.87,0.9906105207495474,7.79,0.87,0.9902133611864007,8.32,0.88,0.99,8.11
RandomForestClassifier,{'n_estimators': 500},0.87,0.9906659262072146,9.85,0.88,0.99047421449749,9.52,0.88,0.9905070134226565,9.84,0.87,0.9902019534047238,9.69,0.87,0.9901121915144077,9.51,0.87,0.9900408126979692,9.29,0.88,0.9908207527814776,9.44,0.88,0.9901707157274657,10.08,0.88,0.9906407593155232,9.58,0.87,0.9904987925364701,10.16,0.88,0.99,9.7
RandomForestClassifier,{'n_estimators': 1000},0.88,0.9909244835608401,19.68,0.88,0.9910469741023401,20.04,0.88,0.990940678999512,21.3,0.87,0.9907098479698192,21.63,0.87,0.9910823032362968,20.41,0.87,0.9909103142502765,19.51,0.87,0.9906029851660684,19.07,0.87,0.9912396322093886,19.38,0.87,0.9909481063657317,18.72,0.87,0.9906700561516644,18.15,0.87,0.99,19.79
RandomForestClassifier,"{'n_estimators': 200, 'n_jobs': -1}",0.87,0.9895561414341912,1.11,0.88,0.9894150036998016,1.08,0.87,0.9883360461751306,1.25,0.87,0.9882936486574865,1.21,0.87,0.9881913784289341,1.18,0.87,0.9902063928685041,1.23,0.87,0.9897946331820701,1.24,0.88,0.9907133701839439,1.09,0.87,0.9887919976271358,1.22,0.87,0.9895162057075967,1.22,0.87,0.99,1.18
RandomForestClassifier,{'criterion': 'entropy'},0.79,0.9494592496659909,0.38,0.8,0.9503484075483302,0.38,0.81,0.9534076695080822,0.39,0.81,0.9555919830192003,0.38,0.81,0.9521357390409787,0.36,0.79,0.9582513151387365,0.37,0.81,0.9577854244612711,0.37,0.81,0.9562781782958446,0.37,0.81,0.9550109767877011,0.42,0.8,0.9529163262298992,0.38,0.8,0.95,0.38
RandomForestClassifier,{'max_depth': 8},0.64,0.9535403857510919,0.12,0.65,0.9571479434507237,0.12,0.66,0.9577504566013104,0.11,0.66,0.954126438889575,0.11,0.67,0.9599700498877101,0.12,0.65,0.9572842796473974,0.11,0.65,0.9542539413338055,0.1,0.67,0.9585395985967881,0.11,0.65,0.9544702431887768,0.1,0.65,0.9564758731416861,0.11,0.66,0.96,0.11
RandomForestClassifier,{'max_depth': 32},0.8,0.9578172685269626,0.17,0.8,0.9500992636790351,0.17,0.8,0.9545336790893613,0.18,0.8,0.9575697944991487,0.18,0.8,0.9528743122244071,0.19,0.81,0.9545834551322204,0.18,0.81,0.9565240695449068,0.18,0.8,0.9518723392353765,0.18,0.8,0.9525866065659326,0.18,0.8,0.9551495715106382,0.18,0.8,0.95,0.18
RandomForestClassifier,{'min_samples_split': 0.1},0.44,0.9257286948933706,0.08,0.45,0.9217033960994292,0.1,0.46,0.9265792601194734,0.07,0.46,0.9287695294102875,0.07,0.47,0.9271854498081916,0.09,0.45,0.9261574116429298,0.08,0.44,0.9293552462989524,0.07,0.45,0.9267308368373818,0.08,0.46,0.9224415409114528,0.1,0.45,0.9200261801551506,0.08,0.45,0.93,0.08
RandomForestClassifier,{'min_samples_split': 0.5},0.31,0.82341674436298,0.05,0.32,0.8194435240024337,0.05,0.31,0.8440313422959773,0.04,0.31,0.808466165393921,0.04,0.3,0.8091829889279819,0.04,0.31,0.8470679617514886,0.07,0.27,0.7736679751117075,0.05,0.32,0.8229784331577321,0.08,0.3,0.7996567150119287,0.04,0.32,0.796445076468954,0.04,0.31,0.81,0.05
RandomForestClassifier,{'min_samples_split': 1.0},0.14,0.5,0.03,0.14,0.5,0.02,0.14,0.5,0.1,0.14,0.5,0.03,0.14,0.5,0.03,0.14,0.5,0.03,0.14,0.5,0.03,0.14,0.5,0.03,0.14,0.5,0.03,0.14,0.5,0.03,0.14,0.5,0.04
RandomForestClassifier,{'min_samples_split': 5},0.8,0.9613998912618584,0.23,0.8,0.967114989573835,0.25,0.81,0.9606832605115173,0.18,0.8,0.9629109266475512,0.17,0.8,0.9637526242085388,0.18,0.8,0.9584472793697429,0.17,0.81,0.9649580051510354,0.18,0.79,0.9621719585743087,0.18,0.8,0.9588080155248185,0.18,0.81,0.9690117002922362,0.18,0.8,0.96,0.19
RandomForestClassifier,{'min_samples_split': 10},0.78,0.9659142056936768,0.17,0.78,0.9679313760280391,0.17,0.79,0.9711628112691739,0.16,0.78,0.9697490213002244,0.16,0.78,0.9700721781167809,0.16,0.78,0.9693214723972355,0.15,0.78,0.9726392317430396,0.16,0.79,0.968788319705696,0.17,0.78,0.9700146467703105,0.16,0.77,0.9669991321282531,0.16,0.78,0.97,0.16
RandomForestClassifier,{'min_samples_leaf': 20},0.69,0.9656598942450086,0.12,0.69,0.9644496532033662,0.12,0.69,0.9656046221546989,0.14,0.7,0.9656308683103855,0.14,0.68,0.9650306606660517,0.12,0.69,0.96518139067435,0.14,0.69,0.9651863015495886,0.13,0.69,0.9658397048475811,0.11,0.69,0.9658783367457922,0.13,0.69,0.9655642924680082,0.16,0.69,0.97,0.13
MLPClassifier,{},0.83,0.9893953100786417,8.38,0.84,0.9901824796824346,7.97,0.84,0.9895153698876639,8.24,0.83,0.9894104836322676,7.12,0.84,0.9899379866542345,7.07,0.84,0.9899837363768207,7.39,0.83,0.9893476837158808,7.23,0.83,0.9896458049153246,7.32,0.83,0.989911974855894,7.14,0.83,0.9895270978894037,7.21,0.83,0.99,7.51
MLPClassifier,{'max_iter': 500},0.85,0.9903205348961445,18.13,0.85,0.9899712486634802,20.54,0.85,0.9896462243819544,21.18,0.86,0.9908712129108902,18.98,0.86,0.9902477664175585,18.07,0.85,0.9903936917106734,18.48,0.85,0.989785486881028,18.45,0.85,0.9906191848474188,19.43,0.86,0.9907238594908016,21.35,0.85,0.9899880467817759,20.89,0.85,0.99,19.55
MLPClassifier,{'solver': 'lbfgs'},0.85,0.9889826594857297,6.06,0.85,0.9893825956668162,6.4,0.84,0.9893935891558231,6.44,0.84,0.9881277353802671,6.05,0.84,0.9881665983358744,5.91,0.84,0.9889301961233959,5.86,0.84,0.9883780647377558,6.07,0.85,0.9892478572343583,5.87,0.83,0.9872198649456386,6.08,0.84,0.9878846782726086,6.09,0.84,0.99,6.08
MLPClassifier,{'solver': 'sgd'},0.65,0.9595824841149321,7.25,0.65,0.9593437506951353,7.31,0.64,0.9571599712975126,7.24,0.63,0.9573914681756404,7.21,0.65,0.958642457405052,7.22,0.65,0.957951630420473,9.03,0.65,0.9584462238788146,7.58,0.65,0.9591463824355104,7.41,0.64,0.9585675750937956,7.57,0.65,0.9583617303890373,9.06,0.65,0.96,7.69
